Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,reviewer_nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review
16 boulevard Haussmann 9th arr 75009 Paris France,37,8/23/2016,7.9,Paris Marriott Opera Ambassador Hotel, Malaysia ,6,263,0,6,4.6,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",345 day,48.8728351,2.3362507, Check in Staff are unfriendly No Positive
Santa Rosa Esplugues 33 08950 Barcelona Spain,72,7/24/2017,7.9,Abba Garden, United Kingdom ,128,959,22,1,3.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",10 days,41.3854716,2.1018835, The receptionist was very rude and very disrespectful towards myself and my partner We enquiried a few times and the female receptionist was difficult to interact with and very threatening towards us She had charged us for facilities that was already in our room we paid for already and tried to get money out of us I felt she was taken advantage of us because we are from England and speak very little Spanish She authorised money to be taken out my account for these facilities which we had paid for on booking com once confronted at reception when we was checking out she said not to worry about the extra charges she alleged had I find this hotel a con And would stay away compket jmmmmm  The staff in the restaurant was very friendly The outside pool was a good size and opened at reasonable times 
Western Gateway Newham London E16 1FA United Kingdom,258,6/20/2017,8.1,Good Hotel London, United Kingdom ,221,1018,41,4,4.6,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 1 night ']",44 days,51.5084195,0.0253216, We turned up at 4 45pm very hot and stressed as transport of due to cancelling of tube meant it took 2 hours to get to hotel upon arrival we thought we could book in at 3pm which was late anyway compared to most hotels to be told at 4 45 our rooms were not ready When I asked about this and displayed my frustration was then told we could have both of our rooms not the best start The rooms were very very small we booked a double room at 130 for one night If I had to stay there for more than one night I would feel it would be too small not enough room to swing a cat No air con and it was 31 outside No TV No hairdryer and no wardrobe Just 5 hooks on the wall with a hanger from it Toilet door swings inside and outside toilet area to ensure space to move but no privacy Rooms just far far too small The cost of the breakfast at 13 a head was very disappointing for the offer Breakfast hot option which only offered scrabbled egg and beans I do not eat meat was not what I expected missing the hash browns mushroom and tomatoes would I stay there again for value no   The location perfect for the O2 arena The weather was great so sitting outside was lovely as I did not want to be cooped up inside my cabin room Bed was comfortable Love being next to Emirate cable cars 
117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,2/8/2017,7.8,Park International Hotel, United Kingdom ,69,1252,8,1,3.3,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",176 day,51.4945144,-0.1866172, Firstly the room was far too expensive for what we got It was the worst room I ve ever stayed in after paying over 100 the room serious is worth 40 Disgusting it was The noise from the main rd meant we slept really bad Windows need double glazing The shower room was nice but the rest was awful I won t be staying there again full stop  We loved the bar of the hotel
Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,843,4/13/2017,7.8,Hilton London Kensington Hotel, United Kingdom ,14,3801,4,2,4.2,"[' Leisure trip ', ' Family with young children ', ' Twin Hilton Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",112 day,51.5051084,-0.213266, Overpriced Outdated Deluded with its standing in the bigger hotel set up   Average throughout 
23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,12/11/2016,7.0,Henry VIII, United Kingdom ,105,2937,14,2,4.2,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",235 day,51.5124655,-0.182274, This is a very very shabby hotel The carpets were threadbare and a definite trip hazard especially in the main lobby reception area and on the stairs There are very small trip steps in the corridors that actually caused me to fall many times The last time I injured my hand and asked to make an entry in the accident book What accident book I was asked that says it all Health and safety need to take a close look at this hotel for hazards Also the bathrooms were very small if you were over 80kg you would not get in the bathroom   The breakfast was very good Plenty to eat and plenty of choice 
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,7/8/2017,7.8,Holiday Inn London Kensington, Bahrain ,87,5945,12,4,3.8,"[' Leisure trip ', ' Group ', ' Standard Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",26 days,51.499981,-0.1928791, 1 We arrived after check in time and our rooms were not ready The staff did not even bother to apologise for this unacceptable incident 2 The staff were rude and not well trained 3 The room service was terrible We had to ask for the tissues to be refilled for the towels to be replaced and for the rooms to be cleaned Every Single Day or our stay 4 The charged us 250 deposit per room even though they had our credit card details   The only good thing about this hotel is the location 
Via Spallanzani 40 Central Station 20129 Milan Italy,353,3/17/2016,8.1,Starhotels Ritz, Iran ,0,4248,63,27,2.5,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",504 day,45.4779041,9.2094965,No Negative  They are rude all of them and thief because I paid cash for two more nights euro 165 But they said it is for one night and do not let me stay I never ever stay in this hotel and ask booking com delete this hotel from their list This was the first time I had such a problem with a hotel
8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,602,12/15/2015,8.5,Club Quarters Hotel Trafalgar Square, Switzerland ,50,2494,9,7,4.6,"[' Business trip ', ' Couple ', ' Small Queen Room ', ' Stayed 2 nights ']",597 day,51.506935,-0.126012, the room stink small and uncomfortable air conditioning very noise the price too high for what they offer I will never go there again forget it I brought my girl friend to please her for the wk end and she was very disappointed of the hotel I choose   Susanna at the reception was a great host
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,12/18/2016,7.5,Hilton London Metropole, United Kingdom ,4,6977,0,6,4.2,"[' Leisure trip ', ' Couple ', ' Twin Hilton Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",228 day,51.5195688,-0.170521, All of it No Positive
Jaume I 6 Ciutat Vella 08002 Barcelona Spain,30,11/13/2015,7.0,Gran Hotel Barcino, Poland ,37,448,5,6,4.2,"[' Business trip ', ' Solo traveler ', ' Single Room with Bathroom ', ' Stayed 2 nights ']",629 day,41.3830582,2.1778267, Very unpleasant experience dingy rooms and moldy bathrooms holes in curtains window which can not be closed Very loud noise from outside No real willingness to help from staff Poor breakfast no vegetables only paprika   nice surrounding near Subway
Via Senato 22 Milan City Center 20121 Milan Italy,116,5/18/2016,9.0,Senato Hotel Milano, United Kingdom ,17,1031,12,13,4.6,"[' Leisure trip ', ' Couple ', ' Junior Suite with Terrace and City view ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",442 day,45.4714062,9.1965303, Breakfast could have been better a little more choice Same pastries were put out each morning  Could have had better selection for breakfast Lovely suite with balcony
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,3/19/2017,7.5,The Cumberland A Guoman Hotel, Thailand ,9,5180,4,1,3.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",137 day,51.514879,-0.1606501, I don t like everything except location   Location only 
7 Rue Rennequin 17th arr 75017 Paris France,55,10/18/2015,7.9,Hotel Monceau Wagram, Netherlands ,41,772,11,16,3.8,"[' Leisure trip ', ' Couple ', ' Superior Romantic Double Room ', ' Stayed 2 nights ']",655 day,48.8808779,2.2989756, Very small rooms The value you get for the money you pay is minimal The 4 stars are a trick no clue how could they keep the last star The old ironing machine they gave me burned my shirt   Being somehow close to the major attractions in Paris 
20 Rue Jean Rey 15th arr 75015 Paris France,333,4/11/2017,8.0,Mercure Paris Centre Tour Eiffel, United Arab Emirates ,56,2611,9,3,2.9,"[' Leisure trip ', ' Family with young children ', ' Standard Room with Double Bed and Sofa Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",114 day,48.8548641,2.2923181, OMG I don t know where to start Rooms was mesrible with the cheep quality of furniture Toilets so bad and dirty reality was totally different then what we saw in pictures No nesspreso machine was given No iron and no slippers No bottle of waters Not recommended if hygiene is important for anyone   Nothing good about the hotel Just the location
Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,7/24/2016,8.5,Eurostars Grand Marina Hotel GL, Romania ,135,4559,0,9,2.5,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room 1 2 Adults ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",375 day,41.371308,2.181698, Although I booked one superior room for 2 adults and one kid and paid in advance when I got there I was told they are fully booked and I need to pay 120 day for an extra bed for my kid Also kids above 2 years are considered adults and charged 27 5 day for breakfast They were barely cleaning the room once per day no toiletries at all I was charged 25 day for car parking although nowere was mentioned and nobody told me The huge swimming pool in the photos is the size of a jacuzzi Buffet for breakfast is very poor staffs in the hotel not well trained and undriendly I have no idea how this hotel got 5 stars in reality the services are of a 3 stars hotel  No Positive
Catherine Grove Greenwich Greenwich London SE10 8BB United Kingdom,487,4/27/2017,8.8,Doubletree By Hilton London Greenwich, United Kingdom ,18,1805,13,2,3.3,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",98 days,51.474469,-0.019428, Unhelpful reception staff very noisy charged extortionate amount for a slice of toast Never stay again   Gentleman at the Door Entrance met us with a lovely smile 
Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,199,6/16/2017,8.6,Pullman Barcelona Skipper, United Kingdom ,180,1424,8,7,3.8,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48 days,41.3860183,2.19473, Worst 5 hotel in the last 10 years I m only 5 star hotel traveller so it came to me as a shocking experience Management in the Accor Group need to take immediate steps to solve this mess Need to ask for everything almost Waste of time and energy instead of being able to enjoy your holiday f e Why no slippers in the room Why I can t get into my room Why wifi is not working Can we have more shower gel And so on and on Staff attitude is not acceptable Lack of efficient English speaking staff Constant wifi connection problems look photo Constant electronic key door problems The bathtub and shower in our room seemed to be shredded by previous guests same goes for half cracked ceramic sink look photos Cleanliness Noise in the room misadvertised as soundproof Disorganised chaotic service especially through breakfast you wait for a waiter to get coffee tea endlessly and than they take your plates when you are not finished It was more like circus than five star hotel   Never again Pull me out of there
61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,3/6/2017,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom ,18,2692,37,1,2.5,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",150 day,51.5160988,-0.1181749, That we have still not heard back from anyone they have taken money don t even care  Booking com took payment upon booking the hotel bullied us into paying again when we arrived although we had already paid and still not her refunded I would not recommend anyone stay at this hotel 
Whitcomb Street Trafalgar Square Westminster Borough London WC2H 7HG United Kingdom,266,7/3/2016,8.4,Thistle Trafalgar Square The Royal Trafalgar, United Kingdom ,253,1193,6,8,3.8,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",396 day,51.509133,-0.130189, 2nd stay here for business 1st time was not too bad so booked again for ease of location for my business visit giving them a second chance Hell never again Upon arrival they didn t have my reservation then asked to see my confirmation about 4 times on my phone making me feel I was some guy who just turned up off the street then was told that the credit card machine was not working so took down my card number and was told this would be processed the next day Following morning when checking out was told to make payment for the room told the receptionist that I had paid when I checked the day before but she told me no payment was processed so gave her card to make payment Later checked my statement to see that I have been charged the first time when I checked in and then charged again checking out Went back to hotel and was told by the receptionist that I will just have to wait 5 days for it to be credited back into my account YOU HAVE BEEN WARNED Double check that you have not been charged twice Overall stay was average stayed in better hotels bathroom very horrible cracked tiles loose grout from the floor tiles horrible dirty yellow stained bath tub and shower curtain TV in room was not looked after remote control not working TV stations is a joke Horrible building site view from window Never be back again   Easy for train and tube
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,3/6/2017,7.5,Hilton London Metropole, Poland ,125,6977,10,6,4.6,"[' Business trip ', ' Solo traveler ', ' Twin Hilton Guest Room ', ' Stayed 5 nights ']",150 day,51.5195688,-0.170521, We stayed in a wing in a dire need of renovation The carpets were old and there was an unpleasant smell in the corridors Noisy elevators The room looked as it has not been redecorated for 30 years old refrigerator with some old flaking labels nothing inside apart from a box of juice left probably by previous occupants Wooden tub casing coming off and cheap Wifi coverage was ok but VPN connection was blocked so good for watching YouTube but no use for remote work and serious business I can understand there may be rooms of different standard in a hotel but then the charges should also be adequately discounted I am especially disappointed as I am a member of Hilton Honours programme   Good location tube pub stores within walking distance 
Kattengat 1 Amsterdam City Center 1012 SZ Amsterdam Netherlands,348,1/23/2017,8.0,Renaissance Amsterdam Hotel, United Kingdom ,5,1710,0,1,2.5,"[' Group ', ' Deluxe Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",192 day,52.377955,4.894641, Everything it was terrible No Positive
4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,2/2/2016,7.8,Millennium Gloucester Hotel London, Pakistan ,28,5726,10,2,4.2,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",548 day,51.4935083,-0.1834346, It s needs a renovation Not very clean the bathroom fixtures seem to be very old the drainage is am slow There is no drinking water provided  The location is good right next to the metro
Manor Road London IG8 8AE United Kingdom,227,5/19/2016,6.9,Hallmark Hotel London Chigwell Prince Regent, United Kingdom ,24,747,3,6,4.6,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ']",441 day,51.6068054,0.0590416, wasn t worth the money staff weren t very friendly or helpful took 20 mins to get to our room wont be back  good location
George Street Westminster Borough London W1H 5BJ United Kingdom,353,9/24/2016,8.1,Durrants Hotel, United Kingdom ,25,1411,3,6,3.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",313 day,51.5179386,-0.1529794, Certainly not 4 star If you re stuck for a room and just want a bed and good service go to Z Hotels overtime  Very Little
Paral lel 115 Sants Montju c 08004 Barcelona Spain,110,6/16/2016,8.2,Silken Concordia, Montenegro ,56,1034,38,10,2.9,"[' Business trip ', ' Solo traveler ', ' Comfort Double or Twin Room ', ' Stayed 3 nights ']",413 day,41.3747873,2.1611846, Reality do not mach the photos on the booking webpage and standards of 4 star hotel I left hotel after first night and move to better one with lower price and better location And that was 3 star hotel Never again First negative experience with booking in almost 10 years I am using it   Location is only what can be considered regarding this hotel Everything else is very basic it is not 4 star hotel for sure I left hotel after first night being happy to do not feel cheated 
Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,538,2/9/2017,8.2,Inntel Hotels Amsterdam Centre, South Korea ,0,3342,16,28,4.6,"[' Leisure trip ', ' Group ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",175 day,52.3760456,4.8943917,No Negative  Lication is quite good but facilities are not as much as the money I paid
9 Place Boulnois 17th arr 75017 Paris France,20,1/24/2017,7.3,Villa Alessandra, United Kingdom ,65,290,5,3,4.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",191 day,48.8794223,2.2957628, To be honest I have never rated any hotel before because I trust booking s reviewers However this hotel got me to rate For me it is the worst hotel I have ever been to It should be rated one star hotel It is very old and every thing seems like in the 1920s not in 2017 Just stay away from this one   Only location and WiFi
Belgrove Street Camden London WC1H 8AB United Kingdom,392,8/13/2015,8.8,Megaro Hotel, Australia ,37,1803,14,2,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",721 day,51.5294411,-0.1233745, For a 210 a night hotel we were very disappointed The room was dark and dreary we were kept up all night with sirens and road noise No hot water from sink Sink partially blocked   The TV had plenty of channels Deluxe rooms had lots of space 
Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,9/3/2016,7.6,Corus Hotel Hyde Park, United Arab Emirates ,13,2562,4,5,3.8,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",334 day,51.5119446,-0.179939, Room is tiny and toilet is tiny A C plowing on bed  Location only 
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,10/1/2016,7.8,Holiday Inn London Kensington, Australia ,41,5945,6,1,3.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",306 day,51.499981,-0.1928791, Rooms could have been cleaner and bigger Simple things like wifi should be included and we should be notified about the 200 bond before we get to the hotel Everything extra like the pool ect cost more to use   The location was great 
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,11/21/2015,7.5,The Cumberland A Guoman Hotel, United Kingdom ,15,5180,0,3,3.8,"[' Leisure trip ', ' Group ', ' Executive Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",621 day,51.514879,-0.1606501, They did not give me reservation and they did not do what they said No Positive
23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,3/1/2016,7.0,Henry VIII, United Kingdom ,0,2937,8,3,4.2,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",520 day,51.5124655,-0.182274,No Negative  The staff are rude Possibly racist 
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,4/7/2017,7.5,The Cumberland A Guoman Hotel, Kuwait ,0,5180,22,5,4.6,"[' Leisure trip ', ' Group ', ' Deluxe King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",118 day,51.514879,-0.1606501,No Negative  the room what discription is not same the deluxe room not same each deluxe room different all the room was old
Manor Road London IG8 8AE United Kingdom,227,2/28/2017,6.9,Hallmark Hotel London Chigwell Prince Regent, United Kingdom ,184,747,0,5,3.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",156 day,51.6068054,0.0590416, Staff are very rude Issued the wrong from firstly I had requested a superior double room and was issued a small twin room I contacted reception who was rude they then moved me to a double room Which again was not a superior size as I had previously stayed at this hotel 3 weeks prior and was given a SUPERIOR room This stay was for two nights and the room was extremely smaller The staff response was we are fully booked Which was not the correct response I was looking for as this added to my doubt that I was in a smaller room then I had paid booked After being told by the receptionist we could use a specific door to exit into the gardens to smoke we was rudely told by another member of staff that we could not That the receptionist was wrong or she had not told us that we could use such door and we need to go to the front of the building Considering we are on the 3rd floor this is an extremely long walk  No Positive
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,10/18/2015,8.4,Park Grand London Kensington, United Kingdom ,28,4660,0,2,4.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']",655 day,51.4938468,-0.1917582, breakfast is expensive so when you have limited time in the morning and you have finished your breakfast before being offered coffee you feel short changed  No Positive
Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,6/30/2017,8.5,Eurostars Grand Marina Hotel GL, United States of America ,35,4559,4,2,4.6,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room 1 2 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']",34 days,41.371308,2.181698, No early notification of taxi strike They would say one thing and do another the taxi was 30 euros The hotel car was 88 Euros I will never recommend your hotel Very disappointing   Clean room 
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,5/8/2017,7.5,Hilton London Metropole, Ireland ,9,6977,2,1,3.3,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room ', ' Stayed 2 nights ']",87 days,51.5195688,-0.170521, Crowded Muslim community all over Hotel and surroundings  Location
49 Gloucester Place Marble Arch Westminster Borough London W1U 8JE United Kingdom,61,8/2/2016,7.4,St George Hotel, Taiwan ,19,334,17,6,3.8,"[' Business trip ', ' Solo traveler ', ' Standard Double Twin Room ', ' Stayed 3 nights ']",366 day,51.5182768,-0.1583511, Room on ground floor very noisy No lift terrible for people Living On the first and second floors  The location is very good not far from Marble Arch underground to and to Oxford street
15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,174,11/17/2016,8.6,The Pelham Starhotels Collezione, Australia ,3,833,8,4,4.2,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ']",259 day,51.4943935,-0.1750169, Everything else  It was close to South Kensington station
5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,275,9/30/2015,8.5,Holiday Inn London Whitechapel, United Kingdom ,44,1131,3,1,2.5,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",673 day,51.5154006,-0.0572364, The staff accused us of smoking in the room and locked our key cards Told to check cctv and see us smoking outside every night before bed Why bother if we were smoking in the room Persecuted and made to feel unwelcome   The gym
129 Bayswater Road London W2 4RJ United Kingdom,153,8/14/2016,7.8,Hilton London Hyde Park, Kuwait ,12,646,2,9,4.2,"[' Leisure trip ', ' Couple ', ' Queen Guestroom ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",354 day,51.51046,-0.1875844, Towel was used for floor cleaning With hole in it   Location
4 rue Amsterdam 9th arr 75009 Paris France,14,3/25/2016,7.5,Le Grand H tel de Normandie, Spain ,50,156,2,1,2.5,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",496 day,48.8759461,2.3270955, My business trip to Paris was cancelled due to a French air traffic controller strike No flights available The hotel was completely unhelpful and rude when I asked if I could change my reservation to the following week but had no problem charging me the full room rate   Nothing
Webgasse 23 06 Mariahilf 1060 Vienna Austria,228,8/19/2016,8.2,Arthotel ANA Boutique Six, Greece ,200,3498,15,11,3.3,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 5 nights ']",349 day,48.1941905,16.3462578, Our towels were never changed we never got fresh bathroom towels They folded our used towels every day and put them on the bathroom shelf In our stay they never changed bed sheets I argued every day at the reception in order for them to provide us with fresh towels the reception closes every day at 22 00 pm there is no one there they return the next day at 07 00 am so if you happen to need anything at all at the reception desk forget it they leave there a night watch man that just explains that the desk will work again at 07 00 am next morning the cleaning staff arrived at our room at 16 00 pm afternoon sometimes 17 00 pm Breakfast is rediculous they have a broken down coffee machine if you happen to arrive at the breakfast room at 09 00 am there is no bread only stale buns no sausages and the scrambled eggs smell rotten very dark brown colour dishes are cracked and broken the breakfast staff has no smile and does not know the meaning of the word goodmorning It is definitly at best a 2 star hotel   somewhat quiet section in the city a conveniant supermarket almost next to it 
61 Quai De Grenelle 15th arr 75015 Paris France,342,3/31/2016,7.6,Novotel Paris Centre Tour Eiffel, Saudi Arabia ,55,2310,6,3,4.6,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room with 1 Double Bed and 1 Sofa Bed 2 places ', ' Stayed 2 nights ']",490 day,48.8500283,2.2834126, Room was too small Carpet was dirty Only one small bottle of complimentary water was given though we were a family of four Not value for money Extra 200Euro was taken but not returned in cash at the time of checkout and till date I did not receive it through my credit card   Bed was very comfortable 
4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,294,5/15/2017,8.7,Fielding Hotel, United Kingdom ,16,1271,4,1,3.8,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",80 days,51.5139315,-0.1219893, Grubby so really overrated and expensive very disappointed Dirty furniture flaking stained paint work   Great location 
Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,44,9/12/2016,8.0,City Hotel Deutschmeister, United Kingdom ,24,675,0,7,3.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",325 day,,, building work in the hotel very small rooms lifts and shower no outside area as garden door locked all the hotel was cramped No Positive
Passeig de Gracia 84 Eixample 08008 Barcelona Spain,393,3/12/2017,8.6,Royal Passeig de Gracia, United Kingdom ,108,3823,0,1,3.8,"[' Leisure trip ', ' Couple ', ' Premium Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",144 day,41.3946775,2.162638, Where to start 1 It was disgusting that we were supplied with ONE 500mm bottle of water over our 3 night stay in a premier room 2 It was very bad that the only bar available was the roof terrace that opened at 5 30 3 The breakfast was appalling All hot food was cold and the eggs were also dry Almost like dry powder We had paid a total of 120 for rubbish As seasoned travellers we are away from home 6 months a year and always stay in 5 accommodation we found the hotel very poor in quality and certainly not value for money  No Positive
Muntaner 212 Eixample 08036 Barcelona Spain,79,7/31/2017,8.1,Guitart Grand Passage, Brazil ,39,867,7,6,4.2,"[' Leisure trip ', ' Couple ', ' Junior Family Suite 3 Adults ', ' Stayed 4 nights ']",3 days,41.3936071,2.1504611, Take care the hotel brings you to a very old dirty and worn out room If you do not complain it is up to you If you complain you are offered a better room still with problems   The room has good space 
59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,337,4/19/2016,7.6,New Linden Hotel, Iceland ,37,2820,5,2,3.8,"[' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",471 day,51.5133832,-0.1926617, Do not let the hotel call you a cab Its twice as expensive as taking a black cab on the street The room was freezing and no way to turn up the heat Breakfast really poor  The price was good
Via Fabio Filzi 25 B Central Station 20124 Milan Italy,224,3/3/2017,8.6,UNA Hotel Century, South Africa ,47,2351,5,4,4.6,"[' Business trip ', ' Couple ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",153 day,45.4841371,9.2001623, Every other hotel I stayed at gives a complimentary bottle of water upon check in except UNA Hotel Carry 3 50 Euros for a bottle of water Teach your staff people skills No Halaal food Most Expensive There are cheaper hotels which offer much more   Coffee was good 
92 Southampton Row Camden London WC1B 4BH United Kingdom,429,6/24/2017,8.3,DoubleTree by Hilton London West End, United Kingdom ,156,1774,12,1,4.6,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",40 days,51.5201065,-0.1221393, The bathroom was falling apart The shower didn t work properly and was dirty The basin was loose and the taps for the basin were not attached correctly so when you try to turn them on or off the whole unit turned The room has very little sound proofing and therefore all the noise from the street kept me awake most of the night I definitely felt like I was staying in a cheap 2 or less star hotel and definitly was not a 280 per night room sorry DoubleTree but I felt a little ripped off and would have been better off staying in a travelidge or premier inn instead Don t let guests stay in rooms that are in need of repair and sort the noise levels out in the rooms that are street facing and perhaps the rating would be better consider charging a more reasonable price for a standard room   Great welcome from the reception staff overall cleanliness and location 
Via Lentasio 3 Milan City Center 20122 Milan Italy,172,11/17/2015,7.7,Best Western Hotel Ascot, Albania ,66,1741,0,27,3.3,"[' Business trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",625 day,45.4580137,9.1913676, The property is very old All the furniture are very unlike and the design of the room looks like in mid ages The door of toilet was really damage and unpainted The toilet and the room spells really bad I paid around 370 euro for one night for my myself my wife and my son And what i got was really far from this price No Positive
26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,207,10/29/2015,8.2,Caesar Hotel, Russia ,15,1164,0,8,2.5,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",644 day,51.5134603,-0.1833081, Why my superior double suite should be in the cellar for 150 pounds  No Positive
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,11/8/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,91,9086,17,1,3.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",268 day,51.5019097,-0.0232208, Room very hot and then when I put air con very loud so you had to choose hot or noise when trying to sleep Also Bed and mattress I can say was the worst I have ever slept in I recently staying in a easyJet hotel and it was basic but I had good night sleep and room clean Plus cost half what I paid here The duty manager very good and understanding but said he would make sure room would be as it should next time I stay   Not much to be honest Location good for what I wanted and parking at hotel 
